Intercept,tripDistance,pickupLong,pickupLat,dropoffLong,dropoffLat
6.756272329,2.778961733,-1.459486626,-2.613380912,-3.08677477,-5.668254487
6.186733759,2.763453274,0.127344051,0.179983721,-2.871501532,-5.179563386
6.783520744,2.721169968,-15.10864201,-27.48332162,3.167951041,5.776119245
7.046194851,2.593659446,2.638460004,4.812488549,-3.787823354,-6.928705294
7.265786369,2.633650376,2.970702854,5.426127672,-3.300079115,-6.060777158
10.31782147,1.560911177,5.92773368,10.61736332,-4.766458276,-8.551744086
6.530614142,2.839739541,2.133076626,3.90600048,-3.264895025,-5.997920765
7.277105477,2.494178135,2.935432993,5.2608744,-1.895268658,-3.41222772
6.269798117,2.534544669,3.188676695,5.744372248,-0.805255123,-1.44585851
6.376390637,2.698315243,-1.286745055,-2.401426156,-0.563860527,-1.005955572
5.871535458,2.741360242,-1.989120349,-3.661693842,1.442364621,2.627914291
6.132128522,2.742561632,0.594617039,1.174296558,0.371812056,0.532558742
5.790382119,2.785224352,-5.419268553,-9.956900902,-1.948024688,-3.465412718
7.430791993,2.740482678,-0.555606688,-1.194476912,0.657149503,1.296272209
8.113251375,2.784102538,-2.711087465,-4.934410548,0.860849028,1.472351193
7.04341381,2.78723242,3.626592213,6.449309006,-0.692126489,-1.200711468
9.122258066,2.75463851,0.959834909,1.623031608,-2.449394048,-4.457744855
8.744303075,2.645180091,-1.757735666,-3.088457013,0.038658801,-0.14649274
11.2378343,2.692274315,0.799466481,1.142240194,-7.957813651,-14.32260892
4.985161528,2.737297099,5.232292118,9.513962992,-7.106989149,-12.95553821
5.067914855,2.813786409,7.915973641,14.31419105,-10.2822356,-18.63689332
6.29017172,2.733179523,4.956895004,9.014233941,-5.600184763,-10.21470623
6.643676098,2.715908618,-0.757740132,-1.326365884,-6.234507097,-11.40066131
6.271111637,2.7495886,-2.660090996,-4.850813195,-4.882368753,-8.869588968
9.092088386,2.759337559,-4.289524637,-7.766983791,-3.861351171,-7.127402721
6.013736401,2.74688621,0.015170095,0.00314897,-5.682988576,-10.31964423
6.391607358,2.42518095,0.698308942,1.242586354,-0.84484826,-1.528855943
6.439286054,2.745752425,0.078481615,0.144804058,-0.149019872,-0.312092981
5.634291933,2.822526256,-0.026636541,-0.049438129,-7.584620293,-13.78708544
6.216295017,2.79441746,1.799877792,3.283268215,-3.178466607,-5.825053644
6.624739082,2.774711795,-0.190442527,-0.360566289,-1.63711022,-3.003502515
5.834640677,2.75841891,-0.666326021,-1.189910984,-0.632665916,-1.197689674
5.47595274,2.720057224,0.482629411,0.903116267,-2.79472798,-5.122375926
5.703509898,2.712719863,-1.599692826,-2.880209853,-3.848678861,-7.041637782
6.903146626,2.706747323,-10.72148624,-19.47471313,-1.871660466,-3.447366294
5.579127515,2.687966458,-4.871873722,-8.857203374,0.31785052,0.562852724
5.996203418,2.742182492,-2.802563162,-5.120081062,-1.664710399,-3.03153456
5.179207011,2.671696301,-6.890934781,-12.51250891,-0.065302188,-0.137415919
9.415267522,1.634171748,0.82394941,1.439258378,7.981865055,14.49908302
8.181681375,2.774433961,-7.735317938,-14.14199964,1.847658707,3.340107296
9.299678286,2.369177111,-1.249277588,-2.38905358,2.247116139,4.093975137
12.84593495,2.665863343,-2.532784102,-4.854841934,0.050092686,0.131463355
11.7928846,2.67993249,2.335042553,3.856744203,-3.997250391,-7.069431845
7.3858973,2.550910485,4.757220062,8.512285642,-5.688380036,-10.27969201
6.58954377,2.726937644,3.757745127,6.910898162,-7.321173014,-13.45749133
5.577478016,2.704942305,2.210932961,3.996916497,-2.516286057,-4.600546163
4.753036823,2.724430171,1.327233701,2.404570883,-3.314360426,-6.040310067
5.373271151,2.738047807,-0.486662601,-0.855785879,-1.896901123,-3.511512408
5.559696514,2.753751229,-3.615265069,-6.481427965,0.535296714,0.850231348
5.455626734,2.55557107,1.568944174,2.878757252,-6.403399846,-11.67496779
7.207655166,2.685622029,-2.849611145,-5.169388996,-4.866442871,-8.90209651
5.668239055,2.693164607,-2.805931598,-5.067956934,-3.907245838,-7.146121697
6.964265026,2.718692448,-1.472835962,-2.627268809,-5.487988608,-10.06775484
6.120159118,2.720525038,-5.203321224,-9.428145395,-1.452800475,-2.691131994
5.719762934,2.76159845,-1.162390075,-2.125188568,-6.421503096,-11.67046325
5.599002777,2.755126094,-2.926778559,-5.289679256,-4.370597647,-7.980931116
6.132221536,2.703985299,-2.064485218,-3.759645215,-4.805201871,-8.741807938
5.37431975,2.716335569,-6.72337938,-12.21595477,-4.276484506,-7.770558783
5.801280398,2.72090333,-9.047784174,-16.42293412,-2.133049939,-3.906644921
5.799345731,2.712776847,-4.959306556,-9.032787066,-2.82475764,-5.12936622
5.885020952,2.721847977,-2.760474884,-5.053178691,-1.861749489,-3.373189753
